"country","total_suicides","total_male_suicides","total_female_suicides"
"Russian Federation",1209742,995412,214330
"United States",1034013,820216,213797
"Japan",806902,555272,251630
"France",329127,239708,89419
"Ukraine",319950,258573,61377
"Germany",291262,211555,79707
"Republic of Korea",261730,179115,82615
"Brazil",226613,177598,49015
"Poland",139098,118035,21063
"United Kingdom",136805,104118,32687
"Italy",132060,99179,32881
"Mexico",111139,91805,19334
"Thailand",110643,82542,28101
"Canada",107561,83377,24184
"Kazakhstan",101546,83386,18160
"Spain",100202,75533,24669
"Argentina",82219,63893,18326
"Hungary",73891,55776,18115
"Romania",72777,59595,13182
"Australia",70111,54785,15326
"Belgium",62761,44749,18012
"Belarus",59892,49890,10002
"Sri Lanka",55641,42043,13598
"Colombia",53080,41737,11343
"Netherlands",50833,33947,16886
"Austria",50073,36878,13195
"Czech Republic",43687,34440,9247
"Cuba",41418,29743,11675
"Chile",40895,34061,6834
"Sweden",37795,26612,11183
"Bulgaria",36388,26420,9968
"Uzbekistan",34803,25543,9260
"Finland",33677,26017,7660
"Lithuania",28039,23028,5011
"Switzerland",26217,18478,7739
"Serbia",24179,17416,6763
"Portugal",24061,18187,5874
"Philippines",21330,16057,5273
"Ecuador",20660,14422,6238
"Croatia",18429,13754,4675
"Norway",16992,12307,4685
"Denmark",15297,10968,4329
"New Zealand",14383,11028,3355
"Slovakia",13437,11413,2024
"Uruguay",13138,10318,2820
"Kyrgyzstan",13090,10453,2637
"Latvia",12770,10296,2474
"Ireland",12574,10123,2451
"Greece",12368,9828,2540
"El Salvador",11683,8338,3345
"Israel",11294,8613,2681
"Slovenia",10615,8313,2302
"Turkey",10131,7562,2569
"Singapore",10089,6296,3793
"Puerto Rico",9043,7989,1054
"Turkmenistan",8624,6528,2096
"Guatemala",8149,6176,1973
"South Africa",7321,5719,1602
"Estonia",7034,5641,1393
"Costa Rica",6792,5813,979
"Paraguay",4783,3326,1457
"Trinidad and Tobago",4039,3219,820
"Mauritius",3894,2899,995
"Panama",3483,2971,512
"Guyana",3426,2608,818
"Georgia",3224,2530,694
"Suriname",2166,1598,568
"Nicaragua",2013,1531,482
"Albania",1970,1277,693
"Luxembourg",1958,1416,542
"Armenia",1905,1410,495
"Azerbaijan",1656,1244,412
"Iceland",1108,853,255
"Kuwait",966,665,301
"United Arab Emirates",622,524,98
"Malta",585,475,110
"Qatar",574,524,50
"Montenegro",472,328,144
"Bahrain",463,383,80
"Mongolia",423,371,52
"Cyprus",412,330,82
"Belize",348,297,51
"Bosnia and Herzegovina",318,248,70
"Fiji",304,213,91
"Saint Lucia",230,196,34
"Jamaica",184,158,26
"Barbados",177,144,33
"Saint Vincent and Grenadines",124,113,11
"Aruba",101,84,17
"Seychelles",98,89,9
"Bahamas",93,79,14
"Kiribati",53,43,10
"Cabo Verde",42,37,5
"Grenada",38,34,4
"Oman",33,33,0
"Macau",27,15,12
"Maldives",20,14,6
"Antigua and Barbuda",11,10,1
"San Marino",4,4,0
"Dominica",0,0,0
"Saint Kitts and Nevis",0,0,0
